job_title,department_name,length_of_service,employee_info
Investment Analyst,Dairy,8,"Investment Analyst,Dairy,8"
Customer Service Manager,Processed Foods,24,"Customer Service Manager,Processed Foods,24"
"Director, Labor Relations",Training,24,"Director, Labor Relations,Training,24"
Meat Cutter,Accounting,21,"Meat Cutter,Accounting,21"
Accounts Receiveable Clerk,Compensation,16,"Accounts Receiveable Clerk,Compensation,16"
"Director, Audit",Meats,21,"Director, Audit,Meats,21"
"Exec Assistant, Finance",Store Management,25,"Exec Assistant, Finance,Store Management,25"
Baker,Dairy,22,"Baker,Dairy,22"
VP Stores,Executive,23,"VP Stores,Executive,23"
"Director, HR Technology",Bakery,25,"Director, HR Technology,Bakery,25"
Processed Foods Manager,Dairy,12,"Processed Foods Manager,Dairy,12"
Shelf Stocker,Processed Foods,13,"Shelf Stocker,Processed Foods,13"
Auditor,Bakery,16,"Auditor,Bakery,16"
Meat Cutter,Bakery,19,"Meat Cutter,Bakery,19"
Auditor,Processed Foods,16,"Auditor,Processed Foods,16"
VP Finance,Executive,20,"VP Finance,Executive,20"
Dairy Person,Accounts Payable,24,"Dairy Person,Accounts Payable,24"
"Director, Accounting",Produce,21,"Director, Accounting,Produce,21"
"Director, HR Technology",Legal,16,"Director, HR Technology,Legal,16"
Accounts Receiveable Clerk,Processed Foods,18,"Accounts Receiveable Clerk,Processed Foods,18"
Dairy Person,Compensation,21,"Dairy Person,Compensation,21"
Baker,Dairy,22,"Baker,Dairy,22"
Dairy Person,Legal,23,"Dairy Person,Legal,23"
Auditor,Employee Records,17,"Auditor,Employee Records,17"
Produce Clerk,Processed Foods,19,"Produce Clerk,Processed Foods,19"
"Exec Assistant, Legal Counsel",Executive,24,"Exec Assistant, Legal Counsel,Executive,24"
CHief Information Officer,Audit,25,"CHief Information Officer,Audit,25"
VP Stores,Executive,25,"VP Stores,Executive,25"
HRIS Analyst,Bakery,21,"HRIS Analyst,Bakery,21"
Meat Cutter,Bakery,26,"Meat Cutter,Bakery,26"
"Exec Assistant, Legal Counsel",Executive,20,"Exec Assistant, Legal Counsel,Executive,20"
Legal Counsel,Executive,19,"Legal Counsel,Executive,19"
"Exec Assistant, VP Stores",Executive,25,"Exec Assistant, VP Stores,Executive,25"
Produce Manager,Meats,24,"Produce Manager,Meats,24"
Meat Cutter,Produce,18,"Meat Cutter,Produce,18"
HRIS Analyst,Bakery,19,"HRIS Analyst,Bakery,19"
"Exec Assistant, Human Resources",Store Management,25,"Exec Assistant, Human Resources,Store Management,25"
"Director, Accounts Payable",Dairy,23,"Director, Accounts Payable,Dairy,23"
Trainer,Information Technology,26,"Trainer,Information Technology,26"
Shelf Stocker,Customer Service,18,"Shelf Stocker,Customer Service,18"
VP Stores,Executive,25,"VP Stores,Executive,25"
"Exec Assistant, Legal Counsel",Executive,23,"Exec Assistant, Legal Counsel,Executive,23"
Cashier,Customer Service,18,"Cashier,Customer Service,18"
CHief Information Officer,Executive,25,"CHief Information Officer,Executive,25"
VP Stores,Executive,25,"VP Stores,Executive,25"
Cashier,Accounts Receiveable,17,"Cashier,Accounts Receiveable,17"
Shelf Stocker,Dairy,12,"Shelf Stocker,Dairy,12"
Baker,Customer Service,22,"Baker,Customer Service,22"
Meats Manager,Executive,26,"Meats Manager,Executive,26"
Dairy Person,Produce,14,"Dairy Person,Produce,14"
CEO,Executive,26,"CEO,Executive,26"
Bakery Manager,Executive,19,"Bakery Manager,Executive,19"
"Director, Employee Records",HR Technology,20,"Director, Employee Records,HR Technology,20"
"Exec Assistant, VP Stores",Executive,24,"Exec Assistant, VP Stores,Executive,24"
Baker,Recruitment,25,"Baker,Recruitment,25"
Shelf Stocker,Dairy,15,"Shelf Stocker,Dairy,15"
Investment Analyst,Produce,11,"Investment Analyst,Produce,11"
CEO,Executive,26,"CEO,Executive,26"
Trainer,Accounts Payable,20,"Trainer,Accounts Payable,20"
"Director, Recruitment",Processed Foods,24,"Director, Recruitment,Processed Foods,24"
Meats Manager,Bakery,19,"Meats Manager,Bakery,19"
Dairy Person,Dairy,23,"Dairy Person,Dairy,23"
Processed Foods Manager,Training,25,"Processed Foods Manager,Training,25"
Produce Clerk,Processed Foods,4,"Produce Clerk,Processed Foods,4"
Produce Clerk,Processed Foods,12,"Produce Clerk,Processed Foods,12"
"Exec Assistant, VP Stores",Training,24,"Exec Assistant, VP Stores,Training,24"
Shelf Stocker,Customer Service,6,"Shelf Stocker,Customer Service,6"
"Exec Assistant, Finance",Executive,24,"Exec Assistant, Finance,Executive,24"
"Director, HR Technology",Store Management,22,"Director, HR Technology,Store Management,22"
Produce Manager,Executive,22,"Produce Manager,Executive,22"
"Director, Training",Meats,21,"Director, Training,Meats,21"
Corporate Lawyer,Executive,26,"Corporate Lawyer,Executive,26"
"Director, Recruitment",Training,26,"Director, Recruitment,Training,26"
Meat Cutter,Accounting,23,"Meat Cutter,Accounting,23"
Accounts Payable Clerk,Dairy,26,"Accounts Payable Clerk,Dairy,26"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
VP Finance,Executive,25,"VP Finance,Executive,25"
Accounts Receiveable Clerk,Accounts Payable,14,"Accounts Receiveable Clerk,Accounts Payable,14"
VP Finance,Executive,23,"VP Finance,Executive,23"
Processed Foods Manager,Processed Foods,11,"Processed Foods Manager,Processed Foods,11"
Dairy Person,Bakery,17,"Dairy Person,Bakery,17"
Bakery Manager,Investment,12,"Bakery Manager,Investment,12"
Auditor,Produce,26,"Auditor,Produce,26"
VP Stores,Executive,25,"VP Stores,Executive,25"
CHief Information Officer,Employee Records,24,"CHief Information Officer,Employee Records,24"
"Exec Assistant, Finance",Meats,26,"Exec Assistant, Finance,Meats,26"
CEO,Executive,26,"CEO,Executive,26"
Corporate Lawyer,Executive,26,"Corporate Lawyer,Executive,26"
CHief Information Officer,Executive,21,"CHief Information Officer,Executive,21"
Meat Cutter,Labor Relations,25,"Meat Cutter,Labor Relations,25"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Produce Clerk,Bakery,18,"Produce Clerk,Bakery,18"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Dairy Manager,Processed Foods,22,"Dairy Manager,Processed Foods,22"
Accounts Receiveable Clerk,Accounting,20,"Accounts Receiveable Clerk,Accounting,20"
"Director, Accounts Receivable",Accounting,24,"Director, Accounts Receivable,Accounting,24"
Customer Service Manager,Accounting,23,"Customer Service Manager,Accounting,23"
Accounting Clerk,Customer Service,13,"Accounting Clerk,Customer Service,13"
"Exec Assistant, Legal Counsel",Executive,24,"Exec Assistant, Legal Counsel,Executive,24"
Produce Manager,Meats,26,"Produce Manager,Meats,26"
Bakery Manager,Executive,24,"Bakery Manager,Executive,24"
HRIS Analyst,Meats,24,"HRIS Analyst,Meats,24"
Auditor,Bakery,21,"Auditor,Bakery,21"
Processed Foods Manager,Executive,13,"Processed Foods Manager,Executive,13"
VP Finance,Executive,25,"VP Finance,Executive,25"
"Director, Accounts Payable",Accounting,20,"Director, Accounts Payable,Accounting,20"
Benefits Admin,Accounts Receiveable,23,"Benefits Admin,Accounts Receiveable,23"
Produce Clerk,Customer Service,20,"Produce Clerk,Customer Service,20"
Baker,Dairy,20,"Baker,Dairy,20"
Baker,Executive,19,"Baker,Executive,19"
Dairy Person,Dairy,25,"Dairy Person,Dairy,25"
Produce Clerk,Processed Foods,24,"Produce Clerk,Processed Foods,24"
Store Manager,Employee Records,25,"Store Manager,Employee Records,25"
Produce Manager,Executive,26,"Produce Manager,Executive,26"
VP Stores,Executive,21,"VP Stores,Executive,21"
CEO,Executive,26,"CEO,Executive,26"
Dairy Person,Executive,21,"Dairy Person,Executive,21"
Produce Clerk,Accounting,25,"Produce Clerk,Accounting,25"
Baker,HR Technology,14,"Baker,HR Technology,14"
Bakery Manager,Processed Foods,22,"Bakery Manager,Processed Foods,22"
Store Manager,Executive,26,"Store Manager,Executive,26"
"Director, HR Technology",Executive,22,"Director, HR Technology,Executive,22"
"Director, Employee Records",Produce,15,"Director, Employee Records,Produce,15"
Systems Analyst,HR Technology,24,"Systems Analyst,HR Technology,24"
"Director, Accounting",Investment,22,"Director, Accounting,Investment,22"
Accounts Payable Clerk,Processed Foods,21,"Accounts Payable Clerk,Processed Foods,21"
Produce Clerk,Recruitment,25,"Produce Clerk,Recruitment,25"
Meat Cutter,Dairy,13,"Meat Cutter,Dairy,13"
Accounts Payable Clerk,Produce,19,"Accounts Payable Clerk,Produce,19"
"Director, Accounts Payable",Compensation,26,"Director, Accounts Payable,Compensation,26"
Benefits Admin,Dairy,19,"Benefits Admin,Dairy,19"
Dairy Manager,Accounts Payable,11,"Dairy Manager,Accounts Payable,11"
"Director, Recruitment",HR Technology,22,"Director, Recruitment,HR Technology,22"
Dairy Person,Executive,23,"Dairy Person,Executive,23"
Processed Foods Manager,Executive,22,"Processed Foods Manager,Executive,22"
"Exec Assistant, Human Resources",Meats,25,"Exec Assistant, Human Resources,Meats,25"
VP Human Resources,Executive,21,"VP Human Resources,Executive,21"
"Exec Assistant, Legal Counsel",Dairy,25,"Exec Assistant, Legal Counsel,Dairy,25"
Cashier,Processed Foods,9,"Cashier,Processed Foods,9"
Accounting Clerk,Investment,18,"Accounting Clerk,Investment,18"
Produce Clerk,Meats,17,"Produce Clerk,Meats,17"
Dairy Person,Produce,18,"Dairy Person,Produce,18"
Meats Manager,Executive,20,"Meats Manager,Executive,20"
Dairy Person,Produce,21,"Dairy Person,Produce,21"
"Director, Labor Relations",Meats,24,"Director, Labor Relations,Meats,24"
Cashier,Customer Service,9,"Cashier,Customer Service,9"
Meat Cutter,Bakery,22,"Meat Cutter,Bakery,22"
"Director, Accounts Payable",Accounts Receiveable,20,"Director, Accounts Payable,Accounts Receiveable,20"
Cashier,Accounting,8,"Cashier,Accounting,8"
"Director, Recruitment",Employee Records,21,"Director, Recruitment,Employee Records,21"
Store Manager,Compensation,25,"Store Manager,Compensation,25"
Customer Service Manager,Bakery,13,"Customer Service Manager,Bakery,13"
Produce Manager,Meats,24,"Produce Manager,Meats,24"
Cashier,Processed Foods,17,"Cashier,Processed Foods,17"
Legal Counsel,Store Management,25,"Legal Counsel,Store Management,25"
CHief Information Officer,Meats,23,"CHief Information Officer,Meats,23"
Investment Analyst,Bakery,14,"Investment Analyst,Bakery,14"
Auditor,Meats,22,"Auditor,Meats,22"
Bakery Manager,Accounting,23,"Bakery Manager,Accounting,23"
Compensation Analyst,Recruitment,21,"Compensation Analyst,Recruitment,21"
VP Human Resources,Executive,22,"VP Human Resources,Executive,22"
"Director, Labor Relations",Accounts Receiveable,26,"Director, Labor Relations,Accounts Receiveable,26"
"Director, Compensation",Accounts Payable,25,"Director, Compensation,Accounts Payable,25"
"Director, Accounting",Employee Records,20,"Director, Accounting,Employee Records,20"
Legal Counsel,Executive,25,"Legal Counsel,Executive,25"
Produce Clerk,Customer Service,12,"Produce Clerk,Customer Service,12"
VP Human Resources,Executive,22,"VP Human Resources,Executive,22"
"Director, Accounts Payable",Executive,24,"Director, Accounts Payable,Executive,24"
Cashier,Customer Service,20,"Cashier,Customer Service,20"
Shelf Stocker,Customer Service,17,"Shelf Stocker,Customer Service,17"
"Director, Investments",Accounts Payable,25,"Director, Investments,Accounts Payable,25"
"Director, Labor Relations",Produce,25,"Director, Labor Relations,Produce,25"
Trainer,Recruitment,23,"Trainer,Recruitment,23"
Accounts Payable Clerk,Investment,19,"Accounts Payable Clerk,Investment,19"
Shelf Stocker,Processed Foods,21,"Shelf Stocker,Processed Foods,21"
Benefits Admin,Processed Foods,18,"Benefits Admin,Processed Foods,18"
Store Manager,Recruitment,25,"Store Manager,Recruitment,25"
Cashier,Customer Service,18,"Cashier,Customer Service,18"
Dairy Person,Compensation,21,"Dairy Person,Compensation,21"
Produce Manager,Legal,23,"Produce Manager,Legal,23"
"Director, Accounts Receivable",HR Technology,20,"Director, Accounts Receivable,HR Technology,20"
Labor Relations Analyst,Training,24,"Labor Relations Analyst,Training,24"
VP Stores,Executive,26,"VP Stores,Executive,26"
Bakery Manager,Executive,13,"Bakery Manager,Executive,13"
Accounts Payable Clerk,Executive,14,"Accounts Payable Clerk,Executive,14"
Shelf Stocker,Bakery,21,"Shelf Stocker,Bakery,21"
Cashier,Customer Service,8,"Cashier,Customer Service,8"
Accounts Receiveable Clerk,Information Technology,20,"Accounts Receiveable Clerk,Information Technology,20"
Dairy Manager,Accounts Payable,19,"Dairy Manager,Accounts Payable,19"
Dairy Person,Bakery,18,"Dairy Person,Bakery,18"
Bakery Manager,Executive,14,"Bakery Manager,Executive,14"
Compensation Analyst,Legal,18,"Compensation Analyst,Legal,18"
Customer Service Manager,Bakery,24,"Customer Service Manager,Bakery,24"
Accounts Receiveable Clerk,Produce,22,"Accounts Receiveable Clerk,Produce,22"
VP Stores,Meats,20,"VP Stores,Meats,20"
Produce Clerk,Customer Service,23,"Produce Clerk,Customer Service,23"
"Director, Accounts Payable",Executive,21,"Director, Accounts Payable,Executive,21"
Accounts Payable Clerk,Training,23,"Accounts Payable Clerk,Training,23"
"Director, Recruitment",Training,26,"Director, Recruitment,Training,26"
Compensation Analyst,Investment,19,"Compensation Analyst,Investment,19"
Legal Counsel,Executive,22,"Legal Counsel,Executive,22"
"Director, Compensation",Meats,12,"Director, Compensation,Meats,12"
Trainer,Accounts Receiveable,14,"Trainer,Accounts Receiveable,14"
Meat Cutter,Meats,13,"Meat Cutter,Meats,13"
Meat Cutter,Dairy,20,"Meat Cutter,Dairy,20"
Investment Analyst,Customer Service,11,"Investment Analyst,Customer Service,11"
Meat Cutter,Produce,22,"Meat Cutter,Produce,22"
Auditor,Dairy,24,"Auditor,Dairy,24"
HRIS Analyst,Processed Foods,18,"HRIS Analyst,Processed Foods,18"
Compensation Analyst,Accounting,25,"Compensation Analyst,Accounting,25"
"Exec Assistant, VP Stores",Meats,20,"Exec Assistant, VP Stores,Meats,20"
VP Stores,Employee Records,23,"VP Stores,Employee Records,23"
Accounts Receiveable Clerk,Produce,10,"Accounts Receiveable Clerk,Produce,10"
Trainer,Store Management,23,"Trainer,Store Management,23"
Meat Cutter,Bakery,25,"Meat Cutter,Bakery,25"
VP Human Resources,Compensation,25,"VP Human Resources,Compensation,25"
Meat Cutter,Produce,19,"Meat Cutter,Produce,19"
Customer Service Manager,Recruitment,25,"Customer Service Manager,Recruitment,25"
Dairy Person,Accounts Payable,14,"Dairy Person,Accounts Payable,14"
Produce Manager,Produce,24,"Produce Manager,Produce,24"
Benefits Admin,Dairy,8,"Benefits Admin,Dairy,8"
"Director, Accounts Receivable",Processed Foods,22,"Director, Accounts Receivable,Processed Foods,22"
Customer Service Manager,Accounting,19,"Customer Service Manager,Accounting,19"
Bakery Manager,Executive,21,"Bakery Manager,Executive,21"
"Director, Employee Records",Recruitment,18,"Director, Employee Records,Recruitment,18"
VP Finance,Executive,25,"VP Finance,Executive,25"
Compensation Analyst,Legal,17,"Compensation Analyst,Legal,17"
CEO,Executive,23,"CEO,Executive,23"
Processed Foods Manager,Accounting,19,"Processed Foods Manager,Accounting,19"
Legal Counsel,Executive,22,"Legal Counsel,Executive,22"
Produce Manager,Bakery,25,"Produce Manager,Bakery,25"
Produce Manager,Training,8,"Produce Manager,Training,8"
"Director, Employee Records",Compensation,22,"Director, Employee Records,Compensation,22"
"Director, Investments",Compensation,18,"Director, Investments,Compensation,18"
CHief Information Officer,Dairy,23,"CHief Information Officer,Dairy,23"
"Exec Assistant, Human Resources",Executive,24,"Exec Assistant, Human Resources,Executive,24"
Compensation Analyst,Meats,24,"Compensation Analyst,Meats,24"
"Director, Accounting",Store Management,25,"Director, Accounting,Store Management,25"
Customer Service Manager,Dairy,12,"Customer Service Manager,Dairy,12"
Meat Cutter,Dairy,22,"Meat Cutter,Dairy,22"
"Exec Assistant, Human Resources",Executive,23,"Exec Assistant, Human Resources,Executive,23"
Auditor,Investment,12,"Auditor,Investment,12"
HRIS Analyst,Accounting,26,"HRIS Analyst,Accounting,26"
Bakery Manager,Bakery,20,"Bakery Manager,Bakery,20"
Produce Manager,Produce,20,"Produce Manager,Produce,20"
"Exec Assistant, VP Stores",Executive,19,"Exec Assistant, VP Stores,Executive,19"
CEO,Executive,25,"CEO,Executive,25"
Accounts Receiveable Clerk,Executive,24,"Accounts Receiveable Clerk,Executive,24"
Dairy Manager,Labor Relations,12,"Dairy Manager,Labor Relations,12"
Produce Clerk,Processed Foods,17,"Produce Clerk,Processed Foods,17"
Meat Cutter,Processed Foods,21,"Meat Cutter,Processed Foods,21"
"Exec Assistant, Finance",Executive,24,"Exec Assistant, Finance,Executive,24"
Trainer,Bakery,10,"Trainer,Bakery,10"
Recruiter,HR Technology,25,"Recruiter,HR Technology,25"
Produce Clerk,Processed Foods,11,"Produce Clerk,Processed Foods,11"
VP Human Resources,Executive,26,"VP Human Resources,Executive,26"
Meat Cutter,Labor Relations,16,"Meat Cutter,Labor Relations,16"
Corporate Lawyer,Executive,15,"Corporate Lawyer,Executive,15"
Systems Analyst,Employee Records,16,"Systems Analyst,Employee Records,16"
"Director, Accounts Payable",Executive,15,"Director, Accounts Payable,Executive,15"
VP Human Resources,Meats,23,"VP Human Resources,Meats,23"
Meat Cutter,Meats,25,"Meat Cutter,Meats,25"
Cashier,Customer Service,13,"Cashier,Customer Service,13"
Corporate Lawyer,Executive,22,"Corporate Lawyer,Executive,22"
"Exec Assistant, Finance",Executive,24,"Exec Assistant, Finance,Executive,24"
"Director, Recruitment",Bakery,25,"Director, Recruitment,Bakery,25"
CHief Information Officer,Store Management,22,"CHief Information Officer,Store Management,22"
VP Finance,Executive,25,"VP Finance,Executive,25"
Meats Manager,Meats,23,"Meats Manager,Meats,23"
"Exec Assistant, Finance",Executive,22,"Exec Assistant, Finance,Executive,22"
Shelf Stocker,Dairy,7,"Shelf Stocker,Dairy,7"
"Exec Assistant, Legal Counsel",Executive,25,"Exec Assistant, Legal Counsel,Executive,25"
Meats Manager,Store Management,19,"Meats Manager,Store Management,19"
Trainer,Investment,24,"Trainer,Investment,24"
Produce Clerk,Audit,9,"Produce Clerk,Audit,9"
Produce Manager,Customer Service,25,"Produce Manager,Customer Service,25"
