transaction_amount,merchant_name,date,transaction_details
392.49,Joseph-Mccoy,2023-02-14,"392.49,Joseph-Mccoy,2023-02-14"
24.81,Merritt Ltd,2023-10-10,"24.81,Merritt Ltd,2023-10-10"
92.88,Burgess Inc,2023-08-19,"92.88,Burgess Inc,2023-08-19"
448.72,"Simmons, Kennedy and Mcdonald",2023-03-11,"448.72,Simmons, Kennedy and Mcdonald,2023-03-11"
468.67,Peck PLC,2023-03-17,"468.67,Peck PLC,2023-03-17"
336.52,Higgins PLC,2023-01-13,"336.52,Higgins PLC,2023-01-13"
178.34,"Price, Lang and Osborn",2023-06-01,"178.34,Price, Lang and Osborn,2023-06-01"
1778.99,Phillips PLC,2023-07-15,"1778.99,Phillips PLC,2023-07-15"
10.35,"Pitts, Drake and Blair",2023-08-25,"10.35,Pitts, Drake and Blair,2023-08-25"
60.14,"Harris, Johnson and Brown",2023-07-15,"60.14,Harris, Johnson and Brown,2023-07-15"
216.55,Nguyen Inc,2023-02-27,"216.55,Nguyen Inc,2023-02-27"
1798.56,Rodriguez Group,2023-03-04,"1798.56,Rodriguez Group,2023-03-04"
146.88,Owens Group,2023-02-25,"146.88,Owens Group,2023-02-25"
36.76,Lopez Group,2023-03-15,"36.76,Lopez Group,2023-03-15"
449.75,Harris Group,2023-02-21,"449.75,Harris Group,2023-02-21"
995.5,Murphy LLC,2023-01-22,"995.5,Murphy LLC,2023-01-22"
95.88,Perez-Davis,2023-07-20,"95.88,Perez-Davis,2023-07-20"
499.69,"Allen, Maldonado and Hill",2023-01-22,"499.69,Allen, Maldonado and Hill,2023-01-22"
728.96,"Thompson, Costa and Landry",2023-04-05,"728.96,Thompson, Costa and Landry,2023-04-05"
989.96,"Blackburn, Gilmore and Silva",2023-08-12,"989.96,Blackburn, Gilmore and Silva,2023-08-12"
983.47,Harris-Herring,2023-06-22,"983.47,Harris-Herring,2023-06-22"
2195.55,Spencer-Hall,2023-10-13,"2195.55,Spencer-Hall,2023-10-13"
175.08,Johnson Ltd,2023-05-23,"175.08,Johnson Ltd,2023-05-23"
2255.55,"Allen, Cohen and Robinson",2023-02-21,"2255.55,Allen, Cohen and Robinson,2023-02-21"
20.98,"Wong, Gomez and Moore",2023-07-08,"20.98,Wong, Gomez and Moore,2023-07-08"
2778.19,"Reynolds, Powers and Baldwin",2023-04-09,"2778.19,Reynolds, Powers and Baldwin,2023-04-09"
133.78,"Hart, Oconnell and Mcdowell",2023-02-07,"133.78,Hart, Oconnell and Mcdowell,2023-02-07"
262.28,Erickson Ltd,2023-01-30,"262.28,Erickson Ltd,2023-01-30"
478.83,"Walton, Webb and Guzman",2023-03-14,"478.83,Walton, Webb and Guzman,2023-03-14"
187.12,"Beasley, Williams and Palmer",2023-05-22,"187.12,Beasley, Williams and Palmer,2023-05-22"
60.44,Meyer-Hess,2023-01-20,"60.44,Meyer-Hess,2023-01-20"
324.78,Schmidt-Stephens,2023-10-02,"324.78,Schmidt-Stephens,2023-10-02"
276.72,"Figueroa, Simpson and Lang",2023-03-02,"276.72,Figueroa, Simpson and Lang,2023-03-02"
182.94,"Tucker, Mccarthy and Love",2023-04-04,"182.94,Tucker, Mccarthy and Love,2023-04-04"
263.06,"Thompson, Simmons and Greer",2023-01-28,"263.06,Thompson, Simmons and Greer,2023-01-28"
98.62,Perez-Buckley,2023-05-13,"98.62,Perez-Buckley,2023-05-13"
856.17,Sanders-Duran,2023-06-11,"856.17,Sanders-Duran,2023-06-11"
317.87,Weaver-Hernandez,2023-03-13,"317.87,Weaver-Hernandez,2023-03-13"
187.62,Blair Inc,2023-03-11,"187.62,Blair Inc,2023-03-11"
164.83,Andrews-Campbell,2023-03-11,"164.83,Andrews-Campbell,2023-03-11"
293.15,Orr-Bell,2023-04-20,"293.15,Orr-Bell,2023-04-20"
51.12,"Green, Solomon and Davis",2023-06-01,"51.12,Green, Solomon and Davis,2023-06-01"
1029.9,Salinas-Wolf,2023-09-08,"1029.9,Salinas-Wolf,2023-09-08"
116.97,Calhoun-Miller,2023-10-09,"116.97,Calhoun-Miller,2023-10-09"
51.35,"Burns, Farley and Carlson",2023-07-26,"51.35,Burns, Farley and Carlson,2023-07-26"
69.33,Garcia LLC,2023-09-16,"69.33,Garcia LLC,2023-09-16"
2243.34,Lee-Phillips,2023-07-10,"2243.34,Lee-Phillips,2023-07-10"
119.19,Adams-Williams,2023-08-18,"119.19,Adams-Williams,2023-08-18"
963.25,Miller Inc,2023-10-08,"963.25,Miller Inc,2023-10-08"
722.4,"Johnson, Shepard and Smith",2023-08-14,"722.4,Johnson, Shepard and Smith,2023-08-14"
394.82,Foster-White,2023-04-09,"394.82,Foster-White,2023-04-09"
249.59,"Johnson, Moss and Taylor",2023-08-20,"249.59,Johnson, Moss and Taylor,2023-08-20"
202.93,"Frazier, Smith and Cruz",2023-04-10,"202.93,Frazier, Smith and Cruz,2023-04-10"
179.37,Vaughan-Marshall,2023-03-14,"179.37,Vaughan-Marshall,2023-03-14"
190.2,Grant Group,2023-01-19,"190.2,Grant Group,2023-01-19"
46.75,Guerra-Schwartz,2023-09-22,"46.75,Guerra-Schwartz,2023-09-22"
143.29,"Rivera, Freeman and Williamson",2023-08-24,"143.29,Rivera, Freeman and Williamson,2023-08-24"
740.8,"Robertson, Wilson and Torres",2023-01-25,"740.8,Robertson, Wilson and Torres,2023-01-25"
243.33,Davis-Chapman,2023-01-03,"243.33,Davis-Chapman,2023-01-03"
36.42,Alvarado-Davidson,2023-02-21,"36.42,Alvarado-Davidson,2023-02-21"
1920.32,"Estrada, Howard and Gross",2023-01-19,"1920.32,Estrada, Howard and Gross,2023-01-19"
1151.0,Curry LLC,2023-05-14,"1151.0,Curry LLC,2023-05-14"
164.69,"Snyder, Bullock and Chase",2023-10-11,"164.69,Snyder, Bullock and Chase,2023-10-11"
129.49,Velazquez-Livingston,2023-02-13,"129.49,Velazquez-Livingston,2023-02-13"
87.76,"Daniel, Martin and Lopez",2023-09-15,"87.76,Daniel, Martin and Lopez,2023-09-15"
140.21,Hendrix-Rice,2023-01-20,"140.21,Hendrix-Rice,2023-01-20"
1347.62,Jones-Fitzgerald,2023-09-01,"1347.62,Jones-Fitzgerald,2023-09-01"
63.34,Klein-Dickerson,2023-07-22,"63.34,Klein-Dickerson,2023-07-22"
491.34,"Hernandez, Rios and Padilla",2023-07-25,"491.34,Hernandez, Rios and Padilla,2023-07-25"
323.12,Fry-Mason,2023-09-17,"323.12,Fry-Mason,2023-09-17"
205.84,Romero PLC,2023-07-19,"205.84,Romero PLC,2023-07-19"
148.44,Gross-Long,2023-10-03,"148.44,Gross-Long,2023-10-03"
523.82,"Roth, Jackson and Green",2023-05-19,"523.82,Roth, Jackson and Green,2023-05-19"
244.07,"Green, Barnes and Brooks",2023-01-13,"244.07,Green, Barnes and Brooks,2023-01-13"
251.53,Macias-Phelps,2023-07-21,"251.53,Macias-Phelps,2023-07-21"
600.02,Johnson-Herrera,2023-09-04,"600.02,Johnson-Herrera,2023-09-04"
2367.25,"Morris, Heath and Ward",2023-09-15,"2367.25,Morris, Heath and Ward,2023-09-15"
875.45,Mason Ltd,2023-05-27,"875.45,Mason Ltd,2023-05-27"
205.6,Tran LLC,2023-02-25,"205.6,Tran LLC,2023-02-25"
39.74,Silva-Novak,2023-07-08,"39.74,Silva-Novak,2023-07-08"
73.74,Campbell-Walsh,2023-02-18,"73.74,Campbell-Walsh,2023-02-18"
58.44,Jordan-Morris,2023-08-22,"58.44,Jordan-Morris,2023-08-22"
160.42,Whitehead-Santos,2023-02-27,"160.42,Whitehead-Santos,2023-02-27"
83.99,"Howard, Hill and Smith",2023-07-26,"83.99,Howard, Hill and Smith,2023-07-26"
281.71,Marsh Ltd,2023-02-22,"281.71,Marsh Ltd,2023-02-22"
35.26,Evans-Oneill,2023-06-16,"35.26,Evans-Oneill,2023-06-16"
52.31,Mueller-Lyons,2023-02-19,"52.31,Mueller-Lyons,2023-02-19"
245.85,"Campos, Spencer and Lopez",2023-05-09,"245.85,Campos, Spencer and Lopez,2023-05-09"
1976.01,"Booth, Gray and Morrison",2023-01-19,"1976.01,Booth, Gray and Morrison,2023-01-19"
87.58,Henry and Sons,2023-08-13,"87.58,Henry and Sons,2023-08-13"
227.54,Mccoy-Sawyer,2023-04-16,"227.54,Mccoy-Sawyer,2023-04-16"
361.94,Hunt and Sons,2023-04-27,"361.94,Hunt and Sons,2023-04-27"
45.46,"Fritz, Byrd and Willis",2023-09-29,"45.46,Fritz, Byrd and Willis,2023-09-29"
114.4,Collins-Hill,2023-08-11,"114.4,Collins-Hill,2023-08-11"
105.55,Peters-Fischer,2023-05-02,"105.55,Peters-Fischer,2023-05-02"
92.22,Duke-Edwards,2023-06-17,"92.22,Duke-Edwards,2023-06-17"
291.88,"Kline, Sandoval and Browning",2023-07-20,"291.88,Kline, Sandoval and Browning,2023-07-20"
30.54,Boyd-Sandoval,2023-02-12,"30.54,Boyd-Sandoval,2023-02-12"
2688.16,Roberts Ltd,2023-01-14,"2688.16,Roberts Ltd,2023-01-14"
54.67,Larson Inc,2023-08-30,"54.67,Larson Inc,2023-08-30"
482.29,Williams-Smith,2023-03-10,"482.29,Williams-Smith,2023-03-10"
139.2,Johnson PLC,2023-05-29,"139.2,Johnson PLC,2023-05-29"
1650.08,Williams Ltd,2023-01-07,"1650.08,Williams Ltd,2023-01-07"
71.73,"Perry, Benitez and Long",2023-04-14,"71.73,Perry, Benitez and Long,2023-04-14"
64.54,Jones-Charles,2023-05-03,"64.54,Jones-Charles,2023-05-03"
683.4,Rose-Horton,2023-01-31,"683.4,Rose-Horton,2023-01-31"
86.99,"Santiago, Smith and Murphy",2023-07-25,"86.99,Santiago, Smith and Murphy,2023-07-25"
5.11,"Martin, Malone and Moore",2023-04-17,"5.11,Martin, Malone and Moore,2023-04-17"
68.01,Shaffer-Potter,2023-06-12,"68.01,Shaffer-Potter,2023-06-12"
2301.33,Todd PLC,2023-06-23,"2301.33,Todd PLC,2023-06-23"
1786.32,Murphy-Duncan,2023-06-30,"1786.32,Murphy-Duncan,2023-06-30"
104.06,Allen-Ramirez,2023-09-09,"104.06,Allen-Ramirez,2023-09-09"
1194.98,"Stuart, Herring and Thompson",2023-02-06,"1194.98,Stuart, Herring and Thompson,2023-02-06"
1536.78,Lowery-Young,2023-05-02,"1536.78,Lowery-Young,2023-05-02"
99.97,Reyes-Mack,2023-05-01,"99.97,Reyes-Mack,2023-05-01"
546.31,Sanchez-Garrison,2023-08-13,"546.31,Sanchez-Garrison,2023-08-13"
135.76,Webster Inc,2023-07-19,"135.76,Webster Inc,2023-07-19"
94.34,Cross PLC,2023-04-17,"94.34,Cross PLC,2023-04-17"
24.11,"Park, Robinson and Case",2023-03-14,"24.11,Park, Robinson and Case,2023-03-14"
86.36,Taylor Inc,2023-09-14,"86.36,Taylor Inc,2023-09-14"
772.53,"Grant, Wood and Shaw",2023-03-12,"772.53,Grant, Wood and Shaw,2023-03-12"
29.14,Reilly-Smith,2023-08-29,"29.14,Reilly-Smith,2023-08-29"
70.78,Franco-Norris,2023-06-15,"70.78,Franco-Norris,2023-06-15"
98.37,"Jefferson, Meadows and Cook",2023-07-15,"98.37,Jefferson, Meadows and Cook,2023-07-15"
42.72,"Richardson, Lopez and Bell",2023-06-17,"42.72,Richardson, Lopez and Bell,2023-06-17"
2345.33,Carpenter-Hickman,2023-05-19,"2345.33,Carpenter-Hickman,2023-05-19"
74.65,Jackson PLC,2023-09-23,"74.65,Jackson PLC,2023-09-23"
274.49,Brown-Shelton,2023-03-12,"274.49,Brown-Shelton,2023-03-12"
82.53,Morrow PLC,2023-06-26,"82.53,Morrow PLC,2023-06-26"
1024.62,Smith-Lawrence,2023-09-08,"1024.62,Smith-Lawrence,2023-09-08"
55.26,"Edwards, Garza and Terry",2023-05-14,"55.26,Edwards, Garza and Terry,2023-05-14"
161.58,Newman-Lopez,2023-06-20,"161.58,Newman-Lopez,2023-06-20"
440.33,Reeves-Jackson,2023-03-07,"440.33,Reeves-Jackson,2023-03-07"
84.27,Moyer LLC,2023-04-27,"84.27,Moyer LLC,2023-04-27"
496.07,"Scott, Young and Thompson",2023-07-21,"496.07,Scott, Young and Thompson,2023-07-21"
2155.7,"Gardner, Lester and Wright",2023-03-22,"2155.7,Gardner, Lester and Wright,2023-03-22"
27.12,Coleman Inc,2023-07-01,"27.12,Coleman Inc,2023-07-01"
107.82,Wallace Ltd,2023-03-12,"107.82,Wallace Ltd,2023-03-12"
475.01,Andersen LLC,2023-06-27,"475.01,Andersen LLC,2023-06-27"
390.19,Schmidt-Wong,2023-05-07,"390.19,Schmidt-Wong,2023-05-07"
17.5,"Lopez, Fleming and Taylor",2023-01-06,"17.5,Lopez, Fleming and Taylor,2023-01-06"
108.12,Aguilar-Martin,2023-09-15,"108.12,Aguilar-Martin,2023-09-15"
545.98,Garcia Ltd,2023-09-28,"545.98,Garcia Ltd,2023-09-28"
47.48,Berry-Brown,2023-07-03,"47.48,Berry-Brown,2023-07-03"
517.15,"Brennan, Jackson and Adams",2023-06-03,"517.15,Brennan, Jackson and Adams,2023-06-03"
1459.29,"Stone, Turner and Bryant",2023-07-18,"1459.29,Stone, Turner and Bryant,2023-07-18"
500.59,Moss Ltd,2023-06-19,"500.59,Moss Ltd,2023-06-19"
19.09,Guerrero PLC,2023-04-28,"19.09,Guerrero PLC,2023-04-28"
195.69,Morris-Combs,2023-03-08,"195.69,Morris-Combs,2023-03-08"
198.29,Perez-Macdonald,2023-01-13,"198.29,Perez-Macdonald,2023-01-13"
413.0,Costa Group,2023-03-05,"413.0,Costa Group,2023-03-05"
150.47,Smith LLC,2023-07-20,"150.47,Smith LLC,2023-07-20"
1609.05,Blanchard-Bailey,2023-08-24,"1609.05,Blanchard-Bailey,2023-08-24"
164.7,Jackson-Daniel,2023-01-11,"164.7,Jackson-Daniel,2023-01-11"
80.19,Black Ltd,2023-08-05,"80.19,Black Ltd,2023-08-05"
57.46,Brooks LLC,2023-08-21,"57.46,Brooks LLC,2023-08-21"
735.35,"Brown, Butler and Calhoun",2023-06-13,"735.35,Brown, Butler and Calhoun,2023-06-13"
576.26,Deleon-Perry,2023-07-26,"576.26,Deleon-Perry,2023-07-26"
583.57,Flores-Murray,2023-02-01,"583.57,Flores-Murray,2023-02-01"
251.82,Thompson PLC,2023-03-19,"251.82,Thompson PLC,2023-03-19"
145.52,"Swanson, Howard and Vang",2023-09-12,"145.52,Swanson, Howard and Vang,2023-09-12"
140.13,Thomas LLC,2023-05-09,"140.13,Thomas LLC,2023-05-09"
172.9,Rodriguez-Merritt,2023-09-07,"172.9,Rodriguez-Merritt,2023-09-07"
792.99,"Murphy, Zamora and Hill",2023-08-01,"792.99,Murphy, Zamora and Hill,2023-08-01"
16.21,Armstrong LLC,2023-07-24,"16.21,Armstrong LLC,2023-07-24"
268.72,"Mitchell, Wade and Fletcher",2023-03-05,"268.72,Mitchell, Wade and Fletcher,2023-03-05"
121.52,"Holt, Bennett and Tate",2023-05-24,"121.52,Holt, Bennett and Tate,2023-05-24"
2018.35,"Smith, Doyle and White",2023-09-13,"2018.35,Smith, Doyle and White,2023-09-13"
80.59,Peterson LLC,2023-04-02,"80.59,Peterson LLC,2023-04-02"
173.86,Pitts-Palmer,2023-05-20,"173.86,Pitts-Palmer,2023-05-20"
49.9,Williams and Sons,2023-03-04,"49.9,Williams and Sons,2023-03-04"
65.61,Griffin Group,2023-07-29,"65.61,Griffin Group,2023-07-29"
25.32,"Cannon, Baird and Alvarado",2023-03-25,"25.32,Cannon, Baird and Alvarado,2023-03-25"
89.1,"Daniels, Cook and Kim",2023-02-27,"89.1,Daniels, Cook and Kim,2023-02-27"
829.5,Lopez-Pineda,2023-10-04,"829.5,Lopez-Pineda,2023-10-04"
384.64,Murphy-Dillon,2023-07-26,"384.64,Murphy-Dillon,2023-07-26"
67.66,Atkinson PLC,2023-05-27,"67.66,Atkinson PLC,2023-05-27"
892.11,"Frederick, Gibson and Smith",2023-08-16,"892.11,Frederick, Gibson and Smith,2023-08-16"
24.22,"Carter, Smith and Hurst",2023-06-20,"24.22,Carter, Smith and Hurst,2023-06-20"
22.58,"Hayes, Warner and Wright",2023-08-03,"22.58,Hayes, Warner and Wright,2023-08-03"
549.85,Gray-Collins,2023-08-22,"549.85,Gray-Collins,2023-08-22"
1800.77,Payne Ltd,2023-08-01,"1800.77,Payne Ltd,2023-08-01"
285.63,Pena Group,2023-02-02,"285.63,Pena Group,2023-02-02"
71.28,Coleman Ltd,2023-01-24,"71.28,Coleman Ltd,2023-01-24"
278.99,Meyer LLC,2023-03-24,"278.99,Meyer LLC,2023-03-24"
89.78,Reilly-Smith,2023-01-03,"89.78,Reilly-Smith,2023-01-03"
400.96,Jones LLC,2023-05-20,"400.96,Jones LLC,2023-05-20"
317.45,Thompson LLC,2023-04-27,"317.45,Thompson LLC,2023-04-27"
260.77,Rojas-West,2023-08-05,"260.77,Rojas-West,2023-08-05"
624.17,Gonzales and Sons,2023-09-30,"624.17,Gonzales and Sons,2023-09-30"
2747.46,Robinson-Kemp,2023-08-31,"2747.46,Robinson-Kemp,2023-08-31"
235.56,Chung-Ward,2023-07-27,"235.56,Chung-Ward,2023-07-27"
525.41,Conley-Brown,2023-09-15,"525.41,Conley-Brown,2023-09-15"
143.73,Cochran-Jackson,2023-01-10,"143.73,Cochran-Jackson,2023-01-10"
212.61,Clark and Sons,2023-08-31,"212.61,Clark and Sons,2023-08-31"
74.91,Smith and Sons,2023-05-15,"74.91,Smith and Sons,2023-05-15"
330.1,"Jones, Butler and Alexander",2023-01-31,"330.1,Jones, Butler and Alexander,2023-01-31"
50.21,Johnson LLC,2023-03-01,"50.21,Johnson LLC,2023-03-01"
48.44,Marsh Inc,2023-01-21,"48.44,Marsh Inc,2023-01-21"
24.79,Shannon Ltd,2023-09-13,"24.79,Shannon Ltd,2023-09-13"
43.63,"Hunt, Clarke and Brandt",2023-02-05,"43.63,Hunt, Clarke and Brandt,2023-02-05"
269.47,Martinez-Williams,2023-03-21,"269.47,Martinez-Williams,2023-03-21"
59.57,"Johnson, Bryant and Newton",2023-06-05,"59.57,Johnson, Bryant and Newton,2023-06-05"
816.09,Lin and Sons,2023-01-27,"816.09,Lin and Sons,2023-01-27"
453.11,"Martinez, Harris and Simpson",2023-03-07,"453.11,Martinez, Harris and Simpson,2023-03-07"
368.68,"Doyle, Norris and Foley",2023-05-10,"368.68,Doyle, Norris and Foley,2023-05-10"
252.71,Dunn PLC,2023-03-13,"252.71,Dunn PLC,2023-03-13"
351.33,Smith-Rodriguez,2023-03-30,"351.33,Smith-Rodriguez,2023-03-30"
46.67,"Jones, Velasquez and Smith",2023-05-30,"46.67,Jones, Velasquez and Smith,2023-05-30"
353.53,Williamson PLC,2023-07-27,"353.53,Williamson PLC,2023-07-27"
851.42,"Taylor, Hall and Wilson",2023-01-29,"851.42,Taylor, Hall and Wilson,2023-01-29"
167.41,"Harris, May and Walsh",2023-06-26,"167.41,Harris, May and Walsh,2023-06-26"
402.15,"Price, Taylor and Roberson",2023-04-06,"402.15,Price, Taylor and Roberson,2023-04-06"
1900.55,"King, King and Jones",2023-04-15,"1900.55,King, King and Jones,2023-04-15"
36.9,"Moyer, Cunningham and Lowe",2023-10-06,"36.9,Moyer, Cunningham and Lowe,2023-10-06"
2601.27,Woodard-Peck,2023-08-09,"2601.27,Woodard-Peck,2023-08-09"
163.4,Everett and Sons,2023-06-02,"163.4,Everett and Sons,2023-06-02"
2073.31,Tucker-Jackson,2023-03-19,"2073.31,Tucker-Jackson,2023-03-19"
2718.62,"Robbins, Murphy and Nicholson",2023-02-12,"2718.62,Robbins, Murphy and Nicholson,2023-02-12"
781.57,"Porter, Rogers and Clark",2023-04-12,"781.57,Porter, Rogers and Clark,2023-04-12"
63.08,"Walker, Stewart and Riddle",2023-08-15,"63.08,Walker, Stewart and Riddle,2023-08-15"
331.62,Stephens Group,2023-02-04,"331.62,Stephens Group,2023-02-04"
72.8,"Nunez, Frazier and Ingram",2023-01-22,"72.8,Nunez, Frazier and Ingram,2023-01-22"
2890.76,"Mills, Johnson and Fitzgerald",2023-03-04,"2890.76,Mills, Johnson and Fitzgerald,2023-03-04"
28.84,Campos Inc,2023-01-16,"28.84,Campos Inc,2023-01-16"
816.29,Jackson Group,2023-09-29,"816.29,Jackson Group,2023-09-29"
151.07,"Brooks, Reed and Adams",2023-06-06,"151.07,Brooks, Reed and Adams,2023-06-06"
2817.99,Bradford-Mitchell,2023-08-07,"2817.99,Bradford-Mitchell,2023-08-07"
68.91,Myers-Patterson,2023-01-16,"68.91,Myers-Patterson,2023-01-16"
2734.89,"Mercer, Roy and Brennan",2023-09-04,"2734.89,Mercer, Roy and Brennan,2023-09-04"
793.18,"Freeman, Ray and Floyd",2023-03-28,"793.18,Freeman, Ray and Floyd,2023-03-28"
162.99,"Hardy, Finley and Miller",2023-03-05,"162.99,Hardy, Finley and Miller,2023-03-05"
236.29,"Hernandez, Rivera and Valenzuela",2023-08-27,"236.29,Hernandez, Rivera and Valenzuela,2023-08-27"
353.44,"Avila, Jennings and Moyer",2023-09-13,"353.44,Avila, Jennings and Moyer,2023-09-13"
2733.52,Neal LLC,2023-05-03,"2733.52,Neal LLC,2023-05-03"
761.35,Walker-Taylor,2023-04-25,"761.35,Walker-Taylor,2023-04-25"
763.4,Crawford-Griffin,2023-03-15,"763.4,Crawford-Griffin,2023-03-15"
90.43,Benjamin-Fry,2023-02-22,"90.43,Benjamin-Fry,2023-02-22"
493.8,"Garcia, Moreno and Williams",2023-08-09,"493.8,Garcia, Moreno and Williams,2023-08-09"
78.23,"Walker, Poole and Turner",2023-06-24,"78.23,Walker, Poole and Turner,2023-06-24"
23.02,Olson-Day,2023-01-10,"23.02,Olson-Day,2023-01-10"
355.03,Hayes-Pratt,2023-05-22,"355.03,Hayes-Pratt,2023-05-22"
89.03,Hernandez-Lucas,2023-09-09,"89.03,Hernandez-Lucas,2023-09-09"
98.78,"Smith, Mcneil and Sullivan",2023-06-18,"98.78,Smith, Mcneil and Sullivan,2023-06-18"
238.8,Alvarado-Becker,2023-07-10,"238.8,Alvarado-Becker,2023-07-10"
245.68,Hayes-Taylor,2023-07-14,"245.68,Hayes-Taylor,2023-07-14"
22.25,Elliott LLC,2023-03-23,"22.25,Elliott LLC,2023-03-23"
64.08,Smith Group,2023-09-14,"64.08,Smith Group,2023-09-14"
1252.48,Garcia PLC,2023-02-25,"1252.48,Garcia PLC,2023-02-25"
292.6,"Murphy, Park and Robbins",2023-07-25,"292.6,Murphy, Park and Robbins,2023-07-25"
558.05,"Campbell, Brown and Peters",2023-05-17,"558.05,Campbell, Brown and Peters,2023-05-17"
56.46,Moody-Campbell,2023-08-05,"56.46,Moody-Campbell,2023-08-05"
317.43,"Gregory, Black and Moore",2023-07-23,"317.43,Gregory, Black and Moore,2023-07-23"
47.72,"Hunt, Davidson and White",2023-09-16,"47.72,Hunt, Davidson and White,2023-09-16"
188.25,Harper-Mcfarland,2023-06-07,"188.25,Harper-Mcfarland,2023-06-07"
489.9,Martin Ltd,2023-05-17,"489.9,Martin Ltd,2023-05-17"
498.09,"Harris, Moore and Kennedy",2023-05-16,"498.09,Harris, Moore and Kennedy,2023-05-16"
2869.2,Miller-Williams,2023-04-13,"2869.2,Miller-Williams,2023-04-13"
35.44,Church LLC,2023-06-30,"35.44,Church LLC,2023-06-30"
24.23,"Moore, Aguilar and Martin",2023-08-31,"24.23,Moore, Aguilar and Martin,2023-08-31"
45.56,"Jones, Williams and Short",2023-07-18,"45.56,Jones, Williams and Short,2023-07-18"
165.22,James-Phillips,2023-04-03,"165.22,James-Phillips,2023-04-03"
22.99,Smith-Pruitt,2023-09-07,"22.99,Smith-Pruitt,2023-09-07"
184.0,"Harper, Vasquez and Price",2023-05-02,"184.0,Harper, Vasquez and Price,2023-05-02"
1807.97,Thornton-Perez,2023-03-25,"1807.97,Thornton-Perez,2023-03-25"
248.23,Johnson-Taylor,2023-04-29,"248.23,Johnson-Taylor,2023-04-29"
243.64,Walker-Reeves,2023-06-28,"243.64,Walker-Reeves,2023-06-28"
177.19,"Mckinney, Armstrong and Miles",2023-08-08,"177.19,Mckinney, Armstrong and Miles,2023-08-08"
23.71,Wong and Sons,2023-05-12,"23.71,Wong and Sons,2023-05-12"
340.69,Bennett LLC,2023-03-24,"340.69,Bennett LLC,2023-03-24"
29.38,"Glenn, Smith and Dennis",2023-06-29,"29.38,Glenn, Smith and Dennis,2023-06-29"
93.25,"Reed, Alexander and Duffy",2023-09-22,"93.25,Reed, Alexander and Duffy,2023-09-22"
695.78,Gray and Sons,2023-01-18,"695.78,Gray and Sons,2023-01-18"
663.68,Young Group,2023-02-06,"663.68,Young Group,2023-02-06"
506.62,"Williams, Barton and Hoffman",2023-07-09,"506.62,Williams, Barton and Hoffman,2023-07-09"
174.18,Adkins-Singh,2023-07-09,"174.18,Adkins-Singh,2023-07-09"
743.78,"Long, Farley and Mcdonald",2023-06-14,"743.78,Long, Farley and Mcdonald,2023-06-14"
215.09,Baker Group,2023-09-01,"215.09,Baker Group,2023-09-01"
72.41,Wang-Hampton,2023-06-15,"72.41,Wang-Hampton,2023-06-15"
683.89,"Ellis, Vega and Perkins",2023-01-31,"683.89,Ellis, Vega and Perkins,2023-01-31"
970.45,"Duffy, Jones and Wilkins",2023-03-03,"970.45,Duffy, Jones and Wilkins,2023-03-03"
455.64,Mercado Inc,2023-02-17,"455.64,Mercado Inc,2023-02-17"
26.1,Moore Inc,2023-02-22,"26.1,Moore Inc,2023-02-22"
209.8,Arias-Cunningham,2023-05-07,"209.8,Arias-Cunningham,2023-05-07"
43.46,"Dougherty, Maldonado and Flores",2023-05-18,"43.46,Dougherty, Maldonado and Flores,2023-05-18"
527.04,"Williams, Velazquez and Bryant",2023-02-18,"527.04,Williams, Velazquez and Bryant,2023-02-18"
898.21,Thompson-Garcia,2023-05-23,"898.21,Thompson-Garcia,2023-05-23"
83.42,Brooks and Sons,2023-04-07,"83.42,Brooks and Sons,2023-04-07"
126.41,"Johnson, Day and Warren",2023-01-24,"126.41,Johnson, Day and Warren,2023-01-24"
374.75,Watts-Cox,2023-06-29,"374.75,Watts-Cox,2023-06-29"
129.41,Watkins-Santiago,2023-05-13,"129.41,Watkins-Santiago,2023-05-13"
755.05,Ward-Owens,2023-07-28,"755.05,Ward-Owens,2023-07-28"
88.58,"Bishop, Miller and Smith",2023-04-03,"88.58,Bishop, Miller and Smith,2023-04-03"
475.82,Roman PLC,2023-06-28,"475.82,Roman PLC,2023-06-28"
52.9,Buchanan Inc,2023-10-11,"52.9,Buchanan Inc,2023-10-11"
163.7,Hale Group,2023-09-24,"163.7,Hale Group,2023-09-24"
79.81,Alexander-Gibbs,2023-03-27,"79.81,Alexander-Gibbs,2023-03-27"
2966.85,"Cruz, Valentine and Robinson",2023-05-05,"2966.85,Cruz, Valentine and Robinson,2023-05-05"
55.71,"Chang, Arellano and Morris",2023-05-21,"55.71,Chang, Arellano and Morris,2023-05-21"
2102.11,Vaughan-Gallagher,2023-06-04,"2102.11,Vaughan-Gallagher,2023-06-04"
451.39,"Bailey, Casey and Taylor",2023-07-19,"451.39,Bailey, Casey and Taylor,2023-07-19"
99.29,"Simpson, Lee and Williams",2023-10-05,"99.29,Simpson, Lee and Williams,2023-10-05"
206.86,"Rice, Pugh and Thomas",2023-07-21,"206.86,Rice, Pugh and Thomas,2023-07-21"
391.46,"Day, Bailey and Richards",2023-03-12,"391.46,Day, Bailey and Richards,2023-03-12"
